COUNTRY_ES,COUNTRY_EN,YEAR,VALUE,DATE
Uruguay,Uruguay,2001,21.4,2001-01-01
Uruguay,Uruguay,2002,21.9,2002-01-01
Uruguay,Uruguay,2003,22.4,2003-01-01
Uruguay,Uruguay,2004,22.9,2004-01-01
Uruguay,Uruguay,2005,23.4,2005-01-01
Uruguay,Uruguay,2006,23.9,2006-01-01
Uruguay,Uruguay,2007,24.4,2007-01-01
Uruguay,Uruguay,2008,24.9,2008-01-01
Uruguay,Uruguay,2009,25.4,2009-01-01
Uruguay,Uruguay,2010,25.9,2010-01-01
Uruguay,Uruguay,2011,26.4,2011-01-01
Uruguay,Uruguay,2012,26.8,2012-01-01
Uruguay,Uruguay,2013,27.3,2013-01-01
Uruguay,Uruguay,2014,27.8,2014-01-01
Uruguay,Uruguay,2015,28.4,2015-01-01
Uruguay,Uruguay,2016,28.9,2016-01-01
Venezuela,Venezuela,2000,18.1,2000-01-01
Venezuela,Venezuela,2001,18.6,2001-01-01
Venezuela,Venezuela,2002,19,2002-01-01
Venezuela,Venezuela,2003,19.4,2003-01-01
Venezuela,Venezuela,2004,19.9,2004-01-01
Venezuela,Venezuela,2005,20.3,2005-01-01
Venezuela,Venezuela,2006,20.7,2006-01-01
Venezuela,Venezuela,2007,21.1,2007-01-01
Venezuela,Venezuela,2008,21.6,2008-01-01
Venezuela,Venezuela,2009,22,2009-01-01
Venezuela,Venezuela,2010,22.4,2010-01-01
Venezuela,Venezuela,2011,22.9,2011-01-01
Venezuela,Venezuela,2012,23.3,2012-01-01
Venezuela,Venezuela,2013,23.8,2013-01-01
Venezuela,Venezuela,2014,24.3,2014-01-01
Venezuela,Venezuela,2015,24.7,2015-01-01
Venezuela,Venezuela,2016,25.2,2016-01-01
